Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;468;BG 2643 - UO;2024-08-15 11:02:00;OMV EVRO DIZEL;45.47;8,366.48;1,394.41;00315429;0;0;                  ;SR;UZICE;OMV EVRO DIZEL;184.000;8,366.48;0.00;0.00;1,394.41;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;9,003.10;Yes;710253;2024-08-15;1;
710111;107248;468;BG 2643 - UO;2024-08-26 12:18:00;ED MAXXMOTION;45.03;9,181.60;1,530.27;00325714;0;0;                  ;SR;KOVIN;ED MAXXMOTION;203.900;9,181.60;0.00;0.00;1,530.27;RSD;;;NO;NO;117;OMV-RS;;;;D;0.00;No;721831;2024-08-26;1;
710111;107248;468;BG 2643 - UO;2024-07-08 10:34:00;ED MAXXMOTION;50.02;10,849.30;1,808.22;00281109;0;0;                  ;SR;KNEZEVAC;ED MAXXMOTION;216.899;10,849.30;0.00;0.00;1,808.22;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;0.00;No;703447;2024-07-08;1;
710111;107248;468;BG 2643 - UO;2024-07-12 20:21:00;ED MAXXMOTION;46.82;10,155.30;1,692.55;00300327;0;0;                  ;SR;UZICE;ED MAXXMOTION;216.901;10,155.30;0.00;0.00;1,692.55;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;0.00;No;702143;2024-07-12;1;
710111;107248;468;BG 2643 - UO;2024-07-21 19:36:00;ED MAXXMOTION;49.56;10,600.90;1,766.82;00294690;0;0;                  ;SR;ADA CIGANLIJA;ED MAXXMOTION;213.900;10,600.90;0.00;0.00;1,766.82;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;0.00;No;793610;2024-07-21;1;
710111;107248;468;BG 2643 - UO;2024-07-26 13:18:00;ED MAXXMOTION;58.77;12,570.90;2,095.15;00373632;0;0;                  ;SR;JAGODINA;ED MAXXMOTION;213.900;12,570.90;0.00;0.00;2,095.15;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;0.00;No;731837;2024-07-26;1;
710111;107248;468;BG 2643 - UO;2024-08-10 16:52:00;OMV EVRO DIZEL;36.34;6,686.56;1,114.43;00170556;0;0;                  ;SR;UZICE;OMV EVRO DIZEL;184.000;6,759.24;0.00;0.00;1,114.43;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;7,195.30;Yes;765234;2024-08-10;1;
710111;107248;468;BG 2643 - UO;2024-08-19 08:32:00;ED MAXXMOTION;44.00;9,103.60;1,517.27;00306330;0;0;                  ;SR;ADA CIGANLIJA;ED MAXXMOTION;206.900;9,103.60;0.00;0.00;1,517.27;RSD;;;NO;NO;217;OMV-RS;;;;D;0.00;No;783228;2024-08-19;1;
710111;107248;468;BG 2643 - UO;2024-08-23 10:03:00;ED MAXXMOTION;4.83;1,000.00;166.67;00172775;0;0;                  ;SR;UZICE;ED MAXXMOTION;207.039;1,000.00;0.00;0.00;166.67;RSD;;;NO;NO;117;OMV-RS;;;;D;0.00;No;700413;2024-08-23;1;
710111;107248;468;BG 2643 - UO;2024-08-23 10:05:00;ED MAXXMOTION;25.02;5,176.60;862.77;00172776;0;0;                  ;SR;UZICE;ED MAXXMOTION;206.898;5,176.60;0.00;0.00;862.77;RSD;;;NO;NO;117;OMV-RS;;;;D;0.00;No;700537;2024-08-23;1;
